tanggal,jam,deskripsi_transaksi,kategori,nominal,tipe_transaksi,metode_pembayaran,lokasi_merchant,status_transaksi,device_os,catatan_user
14/03/2024,17:04,Beli Saham Buka,Investasi,3733000.0,Pengeluaran,Mandiri,Tangerang,Berhasil,iOS 17,jangan pedes
10/8/2023,17:02,deposit kos,Tempat Tinggal,40000.0,Pengeluaran,BCA Virtual Account,,Berhasil,iOS 17,
21/01/2024,1:30,Langganan YouTube Premium,,409000.0,Pengeluaran,Cash,Online,Berhasil,Windows Web,warna hitam
8/10/2023,21:05,Beli Kebab,,26000.0,Pengeluaran,Gopay,Bdg,Berhasil,Windows Web,
7/3/2023,21:53,checkout alfamart,Belanja,1119000.0,Pengeluaran,Cash,Jakarta,Berhasil,Android 13,
5/14/2024,10:07,BELI MIE INSTAN,Belanja,754000.0,Pengeluaran,ovo,SBY,Gagal,Android 12,
1/12/2024,16:23,ONGKIR GRABEXPRESS,,128000000.0,Pengeluaran,CASH,SBY,Berhasil,iOS 16,
4/28/2024,19:33,deposit kos,Tempat Tinggal,409000.0,Pengeluaran,Mandiri,Online,Berhasil,Windows Web,
2/23/2024,13:40,langganan chatgpt,Hiburan,276000.0,Pengeluaran,ovo,Online,Berhasil,Android 13,
29/01/2024,20:17,SAHAM ARTO,,,Pengeluaran,QRIS,Bandung,Berhasil,Windows Web,
13/02/2023,22:31,Perawatan: Servis Motor,Transportasi,171000.0,Pengeluaran,OVO,,Berhasil,Android 13,
12/20/2023,11:30,fotocopy,Lain-lain,329000.0,Pengeluaran,ovo,,Berhasil,iOS 16,
9/26/2023,0:00,Pendanaan Investree,Investasi,,Pengeluaran,ovo,Depok,Berhasil,Android 12,
4/13/2023,4:39,Uang Beasiswa,Pendapatan,,Pemasukan,CASH,Depok,Berhasil,Android 13,
10/20/2023,2:17,Nabung Saham Arto,Investasi,1589000.0,Pengeluaran,Gopay,tangsel,Berhasil,Windows Web,segera proses ya
2/28/2023,4:32,Pendanaan Nabung Emas,Investasi,3573000.0,Pengeluaran,CASH,Surabaya,Berhasil,Windows Web,
5/5/2024,21:06,obat pusing,Kesehatan,,Pengeluaran,QRIS,,Berhasil,Android 12,
30/06/2023,18:46,goride ke stasiun krl,,154000.0,Pengeluaran,ovo,Online,Berhasil,Android 13,
2/15/2024,13:09,GOFOOD CHATIME,Konsumsi,178000.0,Pengeluaran,Gopay,Surabaya,Berhasil,Windows Web,
1/12/2023,19:37,Cashback Tokopedia,Pendapatan,,Pemasukan,qris,tangsel,Berhasil,Android 12,
1/18/2024,7:28,saham tlkm,,2647000.0,Pengeluaran,CASH,JAKARTA,Berhasil,Windows Web,
10/21/2023,6:06,iuran sampah,,-512000.0,Pengeluaran,QRIS,,Berhasil,Android 12,
11/14/2023,4:32,MEMBER GYM,,216000.0,Pengeluaran,OVO,Bandung,Berhasil,Windows Web,
12/3/2024,2:12,Biaya Tiket Krl,Transportasi,114000.0,Pengeluaran,GOPAY,Tangerang,Berhasil,iOS 17,
4/7/2023,19:23,topup dana,Lain-lain,129000.0,Pengeluaran,GOPAY,,Berhasil,iOS 17,
2/16/2024,10:31,checkout tiktok shop,Belanja,314000.0,Pengeluaran,Gopay,Bandung,Berhasil,Windows Web,
5/3/2023,4:56,Biaya Tiket Mrt,Transportasi,,Pengeluaran,CASH,,Berhasil,Android 12,
12/28/2023,5:04,dogecoin,,4235000.0,Pengeluaran,Gopay,SBY,Gagal,Android 12,
4/19/2024,20:27,Perawatan: Servis Motor,Transportasi,79000.0,Pengeluaran,Gopay,,Berhasil,iOS 16,
5/15/2024,17:10,iuran rt,,444000.0,Pengeluaran,Cash,Bdg,Berhasil,Windows Web,
3/28/2024,21:04,freelance web,Pendapatan,820000.0,Pemasukan,Mandiri,Jakarta,Berhasil,Android 13,
3/10/2023,5:42,Alokasi Investasi Investree,Investasi,1608000.0,Pengeluaran,ovo,tangsel,Berhasil,Android 12,
26/03/2023,23:18,Cek Kolesterol,Kesehatan,134000.0,Pengeluaran,Cash,Bdg,Berhasil,Windows Web,jangan pedes
2/22/2023,18:33,SUMBANGAN PENGAMEN,,499000.0,Pengeluaran,CASH,Surabaya,Berhasil,iOS 16,
3/14/2023,12:56,thr,Pendapatan,,Pemasukan,ovo,jkt,Berhasil,iOS 16,
11/23/2023,22:57,token listrik,,394000.0,Pengeluaran,GOPAY,Tangerang,Berhasil,iOS 16,
2/11/2024,0:44,DEPOSIT KOS,,1190000.0,Pengeluaran,GOPAY,Depok,Gagal,Windows Web,
7/5/2023,7:24,DENDA KOS,Tempat Tinggal,1387000.0,Pengeluaran,OVO,,Berhasil,Android 12,
2/24/2024,6:19,deposit kos,,937000.0,Pengeluaran,QRIS,Bandung,Berhasil,Android 12,
3/18/2024,14:11,Checkout TikTok Shop,,747000.0,Pengeluaran,QRIS,,Berhasil,iOS 17,
2/23/2024,17:22,kebab,Konsumsi,95000.0,Pengeluaran,BCA Virtual Account,Bdg,Gagal,iOS 16,kembalian ambil aja
4/7/2024,20:57,kopi sachet,Belanja,1219000.0,Pengeluaran,GOPAY,JAKARTA,Berhasil,Android 13,
10/17/2023,19:14,Tarik Tunai,Lain-lain,408000.0,Pengeluaran,ovo,,Berhasil,Android 13,
3/4/2023,19:21,THR,Pendapatan,4302000.0,Pemasukan,GOPAY,,Berhasil,iOS 16,
8/5/2023,23:16,Beli Pembersih Kaca,Belanja,1326000.0,Pengeluaran,OVO,Jakarta,Berhasil,iOS 17,
17/11/2023,11:56,Alokasi Investasi Koinworks,Investasi,4788000.0,Pengeluaran,CASH,Bdg,Berhasil,Windows Web,
3/25/2023,22:22,iuran keamanan,,388000.0,Pengeluaran,CASH,Online,Berhasil,Android 12,warna hitam
3/9/2023,19:17,Alokasi Investasi Nabung Crypto,Investasi,2190000.0,Pengeluaran,Gopay,,Berhasil,Windows Web,
4/25/2023,4:28,Nabung Saham Asii,Investasi,1057000.0,Pengeluaran,Mandiri,Online,Pending,Android 12,
11/3/2024,11:28,Konser Musik,,292000.0,Pengeluaran,CASH,Surabaya,Gagal,iOS 16,warna hitam
10/20/2023,17:19,admin bri,Lain-lain,348000.0,Pengeluaran,Mandiri,Online,Gagal,iOS 17,
25/01/2023,7:04,Madu,Kesehatan,170000.0,Pengeluaran,QRIS,jkt,Berhasil,Android 12,
4/8/2023,23:48,Iuran Sampah,Tagihan,120000.0,Pengeluaran,ovo,jkt,Berhasil,Android 13,
21/02/2023,11:17,ipl apartemen,Tempat Tinggal,691000.0,Pengeluaran,CASH,Bandung,Pending,Android 12,titip satpam
4/15/2023,17:04,zink,Kesehatan,427000.0,Pengeluaran,Mandiri,SBY,Berhasil,iOS 17,
3/11/2024,23:42,PARKIR WARKOP,,81000.0,Pengeluaran,GOPAY,Online,Gagal,iOS 16,
6/27/2023,16:55,betadine,Kesehatan,76000.0,Pengeluaran,OVO,Depok,Berhasil,iOS 16,kembalian ambil aja
12/31/2023,7:54,BONUS PROJECT,Pendapatan,6643000.0,Pemasukan,Mandiri,jkt,Berhasil,iOS 16,
13/09/2023,8:38,belanja di superindo,Belanja,162000.0,Pengeluaran,Cash,,Pending,iOS 16,
2/8/2023,13:22,CHECKOUT TIKTOK SHOP,,839000.0,Pengeluaran,Gopay,Surabaya,Berhasil,iOS 17,
8/10/2023,19:52,ZINK,Kesehatan,332000.0,Pengeluaran,ovo,,Pending,Android 12,ukuran XL
25/01/2024,21:46,Beli Saham Bbca,Investasi,1673000.0,Pengeluaran,Mandiri,Bandung,Pending,iOS 16,
26/05/2023,3:32,nyicil deterjen,Belanja,1492000.0,Pengeluaran,Mandiri,Bdg,Berhasil,iOS 16,
9/28/2023,0:16,main biliar,Hiburan,151000.0,Pengeluaran,Mandiri,,Berhasil,Android 13,warna hitam
3/4/2024,23:25,Beli Lemari,Tempat Tinggal,293000.0,Pengeluaran,Mandiri,,Berhasil,iOS 16,
7/7/2023,5:08,Sewa Kontrakan,Tempat Tinggal,2296000.0,Pengeluaran,BCA Virtual Account,Bandung,Berhasil,Android 13,
8/12/2023,7:45,Admin BNI,Lain-lain,290000.0,Pengeluaran,CASH,,Berhasil,Android 12,titip satpam
15/08/2023,9:05,Tiket LRT,,138000.0,Pengeluaran,Cash,Depok,Pending,Windows Web,
2/11/2023,13:31,SEDEKAH,Lain-lain,48000.0,Pengeluaran,qris,Depok,Berhasil,Android 13,titip satpam
24/02/2023,10:08,uang hasil nemu,,9402000.0,Pemasukan,CASH,Surabaya,Berhasil,iOS 17,
3/28/2024,3:47,google one,Tagihan,,Pengeluaran,OVO,Surabaya,Berhasil,iOS 16,
9/23/2023,0:05,topup flazz,,-98000.0,Pengeluaran,BCA Virtual Account,JAKARTA,Berhasil,Android 12,
2/13/2023,10:50,Checkout Shopee,Belanja,,Pengeluaran,OVO,jkt,Berhasil,Windows Web,
14/11/2023,12:38,cashback gopay,Pendapatan,3945000.0,Pemasukan,BCA Virtual Account,Jakarta,Berhasil,Windows Web,
21/09/2023,5:37,main bowling,Hiburan,134000.0,Pengeluaran,BCA Virtual Account,,Berhasil,iOS 17,segera proses ya
28/09/2023,21:11,ipl apartemen,Tempat Tinggal,228000.0,Pengeluaran,Cash,,Pending,iOS 16,
2/23/2023,11:41,token listrik,Tagihan,650000.0,Pengeluaran,qris,JAKARTA,Berhasil,Android 12,
9/1/2023,20:49,deposit kos,Tempat Tinggal,-1323000.0,Pengeluaran,QRIS,jkt,Berhasil,iOS 17,
7/28/2023,6:46,Topup Kartu E-Money,Transportasi,59000.0,Pengeluaran,Cash,Surabaya,Berhasil,Windows Web,
3/17/2024,12:32,ongkir jne,Lain-lain,231000.0,Pengeluaran,QRIS,jkt,Pending,Android 13,
6/12/2023,9:47,Pengeluaran Parkir Bandara,Transportasi,219000.0,Pengeluaran,Mandiri,Depok,Berhasil,Android 12,
24/03/2023,18:02,Alokasi Investasi Pluang,Investasi,671000.0,Pengeluaran,OVO,,Berhasil,Windows Web,
4/18/2023,20:15,Cardano,,3299000.0,Pengeluaran,Mandiri,SBY,Berhasil,iOS 17,
9/12/2023,13:11,uang kembalian,Pendapatan,9163000.0,Pemasukan,Gopay,,Berhasil,Windows Web,kembalian ambil aja
9/29/2023,7:44,admin bca,Lain-lain,21000.0,Pengeluaran,ovo,,Berhasil,iOS 17,jangan pedes
29/04/2024,4:46,Nabung Saham Tlkm,Investasi,4947000.0,Pengeluaran,CASH,Tangerang,Berhasil,iOS 17,
31/03/2024,19:56,baju thrift,Belanja,995000.0,Pengeluaran,Gopay,tangsel,Berhasil,Android 12,
11/19/2023,7:07,TOPUP STEAM,Hiburan,27000.0,Pengeluaran,BCA Virtual Account,SBY,Berhasil,Android 12,ukuran XL
11/3/2023,7:21,Topup Reksadana,Investasi,3991000.0,Pengeluaran,Cash,,Gagal,Windows Web,
10/12/2023,14:29,KONSER MUSIK,Hiburan,455000.0,Pengeluaran,Cash,SBY,Berhasil,Android 12,
7/30/2023,3:26,laundry kiloan,,,Pengeluaran,qris,,Berhasil,Android 13,
18/08/2023,19:25,Checkout Shopee,Belanja,-935000.0,Pengeluaran,GOPAY,jkt,Berhasil,iOS 17,
12/21/2023,8:22,nyicil kaos oversize,Belanja,286000.0,Pengeluaran,CASH,JAKARTA,Berhasil,Android 13,
11/21/2023,16:05,Alokasi Investasi Usdt,Investasi,1662000.0,Pengeluaran,OVO,SBY,Berhasil,Android 12,
18/03/2023,22:39,Topup Portofolio Bli Ori,Investasi,3116000.0,Pengeluaran,Gopay,,Berhasil,Android 12,
7/13/2023,12:43,bli kasur,Tempat Tinggal,2340000.0,Pengeluaran,CASH,Online,Berhasil,Android 12,
4/1/2023,21:57,nyicil kapur barus,Belanja,350000.0,Pengeluaran,QRIS,tangsel,Berhasil,Windows Web,titip satpam
3/30/2023,21:38,Terang Bulan,Konsumsi,113000.0,Pengeluaran,Cash,Depok,Berhasil,Android 13,warna hitam
25/09/2023,12:35,Jilid Skripsi,,-82000.0,Pengeluaran,BCA Virtual Account,SBY,Berhasil,Android 12,
11/1/2023,8:54,Bayar Tol Cipularang,Transportasi,21000.0,Pengeluaran,Cash,Tangerang,Gagal,Android 13,titip satpam
6/25/2023,7:42,Belanja di Indomaret,Belanja,1202000.0,Pengeluaran,GOPAY,,Berhasil,iOS 17,
8/19/2023,16:37,uang air kos,,2221000.0,Pengeluaran,ovo,jkt,Berhasil,iOS 16,
7/11/2023,13:40,CHECKOUT SHOPEE,,186000.0,Pengeluaran,Mandiri,,Berhasil,Android 12,
11/23/2023,13:35,Beli Emas Pegadaian,,3952000.0,Pengeluaran,OVO,,Berhasil,iOS 17,
10/6/2023,15:01,byr wifi tri,,995000.0,Pengeluaran,GOPAY,Bandung,Berhasil,iOS 17,
22/01/2024,14:15,CUCI MOTOR,,101000.0,Pengeluaran,Gopay,tangsel,Berhasil,iOS 17,
4/29/2024,15:13,karaoke,Hiburan,183000.0,Pengeluaran,BCA Virtual Account,JAKARTA,Berhasil,Windows Web,
12/12/2023,21:46,Pendanaan Deposito,Investasi,,Pengeluaran,OVO,Surabaya,Gagal,Windows Web,
2/12/2023,6:14,langganan chatgpt,Hiburan,310000.0,Pengeluaran,ovo,SBY,Berhasil,Windows Web,ukuran XL
6/8/2023,12:23,Joki Tugas,,958000.0,Pemasukan,ovo,Bandung,Berhasil,Android 13,
5/28/2023,5:35,jajan cireng,Konsumsi,97000.0,Pengeluaran,OVO,SBY,Berhasil,Windows Web,
1/30/2024,23:51,IPL APARTEMEN,Tempat Tinggal,2131000.0,Pengeluaran,BCA Virtual Account,SBY,Berhasil,Android 13,
9/21/2023,20:13,cashback tokopedia,Pendapatan,9117000.0,Pemasukan,Gopay,jkt,Berhasil,Android 12,
13/10/2023,3:10,dogecoin,,2700000.0,Pengeluaran,qris,,Berhasil,iOS 16,
12/13/2023,4:51,deposit kos,Tempat Tinggal,2081000.0,Pengeluaran,BCA Virtual Account,tangsel,Berhasil,Windows Web,
9/5/2024,3:14,Investasi Di Ajaib,Investasi,1102000.0,Pengeluaran,qris,,Berhasil,Android 13,
2/27/2024,11:35,Print Tugas,Lain-lain,50000.0,Pengeluaran,qris,Bdg,Berhasil,Android 12,
10/23/2023,4:00,sedekah,,364000.0,Pengeluaran,GOPAY,,Berhasil,Android 12,
6/23/2023,14:15,byr bpjs,Tagihan,23000.0,Pengeluaran,GOPAY,Surabaya,Berhasil,Windows Web,
4/11/2024,8:59,Jasa Cuci Motor,Transportasi,63000.0,Pengeluaran,ovo,Bandung,Pending,Android 12,
2/12/2023,23:39,PHOTOBOX,Hiburan,118000.0,Pengeluaran,Gopay,Bandung,Berhasil,Android 12,
10/8/2023,21:37,rawon,Konsumsi,230000.0,Pengeluaran,CASH,Online,Berhasil,Windows Web,
2/18/2023,0:32,NYICIL KEYBOARD,Belanja,944000.0,Pengeluaran,Mandiri,Surabaya,Berhasil,Windows Web,
7/17/2023,16:31,patungan,Lain-lain,357000.0,Pengeluaran,qris,SBY,Berhasil,iOS 17,
2/4/2023,13:25,token listrik,Tagihan,128000.0,Pengeluaran,CASH,,Berhasil,Android 13,
10/7/2023,17:11,ipl apartemen,,2793000.0,Pengeluaran,BCA Virtual Account,jkt,Berhasil,Windows Web,
4/28/2023,8:11,Sewa Kontrakan,Tempat Tinggal,863000.0,Pengeluaran,QRIS,Online,Pending,Android 13,
23/06/2023,6:45,mie instan,Belanja,1010000.0,Pengeluaran,OVO,tangsel,Berhasil,Android 12,
3/10/2023,14:00,photobox,Hiburan,205000.0,Pengeluaran,ovo,,Berhasil,Android 13,
7/18/2023,2:26,baju thrift,,791000.0,Pengeluaran,Cash,,Berhasil,Windows Web,
1/29/2023,15:47,BELI GARPU,Belanja,751000.0,Pengeluaran,Gopay,JAKARTA,Berhasil,Android 13,
10/14/2023,20:43,cilok,Konsumsi,77000.0,Pengeluaran,CASH,,Berhasil,Android 13,
19/09/2023,9:12,bpjs kesehatan,Kesehatan,,Pengeluaran,Mandiri,Bandung,Gagal,iOS 16,
1/9/2024,20:22,cashback shopeepay,Pendapatan,5304000.0,Pemasukan,GOPAY,Tangerang,Berhasil,iOS 17,ukuran XL
2/21/2023,10:24,Topup Portofolio Sukuk,Investasi,2798000.0,Pengeluaran,Mandiri,jkt,Berhasil,iOS 16,
11/14/2023,1:10,habbatussauda,Kesehatan,103000.0,Pengeluaran,Gopay,Bandung,Berhasil,iOS 17,kembalian ambil aja
14/10/2023,23:50,cuci motor,,,Pengeluaran,GOPAY,,Berhasil,Android 13,
2/4/2023,12:33,Biaya Tiket Mrt,Transportasi,128000.0,Pengeluaran,BCA Virtual Account,JAKARTA,Berhasil,Android 12,
3/4/2023,2:09,Pengisian E-Money,Transportasi,111000.0,Pengeluaran,GOPAY,jkt,Berhasil,iOS 17,jangan pedes
4/29/2023,14:10,DENDA KOS,,2592000.0,Pengeluaran,GOPAY,,Gagal,Android 12,
4/24/2024,11:49,voucher game,Hiburan,323000.0,Pengeluaran,BCA Virtual Account,Bandung,Berhasil,iOS 17,
9/3/2023,9:59,GOFOOD SEAFOOD 45,,,Pengeluaran,ovo,Depok,Pending,Android 13,
4/2/2024,4:03,VOUCHER GAME,,392000.0,Pengeluaran,OVO,Depok,Pending,Android 12,
7/17/2023,7:38,JAJAN CUANKI,,42000000.0,Pengeluaran,OVO,JAKARTA,Berhasil,Android 12,kembalian ambil aja
1/24/2024,22:47,Beli Sarung Tangan,Belanja,,Pengeluaran,CASH,Online,Berhasil,Android 12,
6/25/2023,6:40,member gym,,,Pengeluaran,Mandiri,,Berhasil,Android 12,
1/16/2023,18:39,Ongkos Ganti Oli,Transportasi,216000.0,Pengeluaran,Gopay,,Berhasil,iOS 16,
4/7/2023,19:18,Beli Koin Tokocrypto,Investasi,4841000.0,Pengeluaran,QRIS,,Berhasil,Android 12,
6/18/2023,17:00,pulsa indihome,Tagihan,,Pengeluaran,CASH,jkt,Pending,iOS 16,
2/4/2023,7:01,uang menang lomba,,765000.0,Pemasukan,OVO,,Berhasil,iOS 17,
1/24/2024,1:57,bli parfum,Belanja,509000.0,Pengeluaran,CASH,Tangerang,Berhasil,iOS 17,
4/18/2023,9:42,Dogecoin,,4271000.0,Pengeluaran,CASH,jkt,Berhasil,iOS 17,jangan pedes
2/2/2023,21:20,laundry kiloan,Tempat Tinggal,641000.0,Pengeluaran,Gopay,Bdg,Berhasil,Android 12,
15/02/2023,21:19,sewa kontrakan,Tempat Tinggal,77000.0,Pengeluaran,CASH,,Berhasil,Android 13,
2/16/2023,5:30,Photobox,Hiburan,287000.0,Pengeluaran,ovo,,Berhasil,Windows Web,
7/16/2023,4:09,gofood gacoan,Konsumsi,,Pengeluaran,OVO,Bandung,Berhasil,Android 12,
7/1/2023,16:22,dividen saham,Pendapatan,8503000.0,Pemasukan,qris,Surabaya,Berhasil,Android 12,
11/11/2023,12:30,photobox,Hiburan,461000.0,Pengeluaran,GOPAY,Depok,Berhasil,Android 12,ukuran XL
8/11/2023,21:20,Deposit Kos,Tempat Tinggal,712000.0,Pengeluaran,qris,,Berhasil,iOS 17,
28/03/2024,4:17,main bowling,,469000.0,Pengeluaran,OVO,SBY,Pending,iOS 16,
4/20/2023,17:28,honor jaga stand,,1955000.0,Pemasukan,QRIS,jkt,Berhasil,iOS 17,
6/2/2023,5:42,MIE AYAM,Konsumsi,136000.0,Pengeluaran,GOPAY,,Berhasil,Android 12,
7/17/2023,9:01,cek kolesterol,Kesehatan,254000.0,Pengeluaran,ovo,Depok,Berhasil,iOS 16,
6/4/2024,2:54,cashback,Pendapatan,3647000.0,Pemasukan,Cash,,Berhasil,Android 12,
3/18/2024,8:49,joki tugas,Pendapatan,2311000.0,Pemasukan,ovo,,Berhasil,iOS 17,
7/10/2023,2:03,uang sampah kos,Tempat Tinggal,2572000.0,Pengeluaran,Mandiri,JAKARTA,Berhasil,iOS 17,
6/29/2023,21:53,cashback shopeepay,Pendapatan,341000.0,Pemasukan,Cash,Bandung,Berhasil,iOS 16,
10/8/2023,2:59,Order Goride Ke Perpus,Transportasi,,Pengeluaran,Gopay,,Berhasil,iOS 17,
6/10/2023,0:59,Uang Beasiswa,Pendapatan,,Pemasukan,ovo,,Berhasil,iOS 16,
4/8/2023,10:08,betadine,Kesehatan,186000.0,Pengeluaran,qris,,Berhasil,Windows Web,
13/05/2024,18:49,member gym,Kesehatan,,Pengeluaran,qris,Online,Berhasil,iOS 17,
1/18/2023,18:15,gaji part time,,5535000.0,Pemasukan,Mandiri,,Pending,Windows Web,
8/10/2023,22:26,Gofood RotiO,Konsumsi,152000.0,Pengeluaran,Cash,SBY,Gagal,Windows Web,
5/30/2023,3:28,bli telur gulung,Konsumsi,242000.0,Pengeluaran,Cash,,Berhasil,iOS 17,
5/3/2023,17:00,cuci cetak foto,Lain-lain,457000.0,Pengeluaran,OVO,Depok,Berhasil,Android 12,
12/8/2023,11:07,Pengeluaran Parkir Kos,Transportasi,156000.0,Pengeluaran,GOPAY,,Berhasil,Android 12,
3/23/2023,16:42,DEPOSIT KOS,Tempat Tinggal,450000.0,Pengeluaran,BCA Virtual Account,tangsel,Berhasil,Windows Web,
11/12/2023,9:55,cicil emas,,591000.0,Pengeluaran,QRIS,,Berhasil,Android 13,
14/08/2023,12:29,Perbaikan Kamar Mandi,Tempat Tinggal,,Pengeluaran,ovo,tangsel,Berhasil,Android 12,
8/28/2023,23:47,nonton bioskop,,82000.0,Pengeluaran,qris,,Berhasil,Android 13,
26/09/2023,1:27,rotio,,227000.0,Pengeluaran,Gopay,,Berhasil,Android 12,
5/1/2024,15:37,dumbbell,Kesehatan,349000.0,Pengeluaran,BCA Virtual Account,,Berhasil,iOS 17,segera proses ya
8/31/2023,19:10,patungan listrik kos,Tempat Tinggal,1700000.0,Pengeluaran,qris,,Berhasil,Android 13,jangan pedes
12/9/2023,20:22,LANGGANAN CHATGPT,Hiburan,452000.0,Pengeluaran,Gopay,jkt,Berhasil,iOS 16,
12/21/2023,6:29,google one,Tagihan,888000.0,Pengeluaran,Gopay,,Gagal,iOS 17,
8/11/2023,11:54,biaya bi fast,Lain-lain,233000.0,Pengeluaran,Gopay,tangsel,Berhasil,Android 12,jangan pedes
1/12/2023,17:11,Checkout TikTok Shop,Belanja,,Pengeluaran,Gopay,Online,Berhasil,Windows Web,
1/26/2024,10:30,Beli Koin Cardano,Investasi,1926000.0,Pengeluaran,qris,Online,Berhasil,iOS 17,
4/22/2024,7:30,Topup PUBG,Hiburan,26000.0,Pengeluaran,Mandiri,jkt,Berhasil,iOS 17,
5/6/2023,0:27,cicilan paylater,Tagihan,629000.0,Pengeluaran,QRIS,SBY,Berhasil,Android 12,segera proses ya
6/16/2023,4:24,Cuci Mobil,,218000.0,Pengeluaran,QRIS,,Berhasil,Windows Web,
12/14/2023,2:22,BELI MIE INSTAN,,431000.0,Pengeluaran,qris,,Berhasil,Windows Web,ukuran XL
15/01/2024,13:41,Uang Menang Lomba,Pendapatan,4420000.0,Pemasukan,BCA Virtual Account,Surabaya,Berhasil,iOS 16,segera proses ya
13/11/2023,22:41,Nyicil Deterjen,Belanja,946000.0,Pengeluaran,Cash,,Berhasil,Android 13,
8/6/2023,9:22,langganan chatgpt,Hiburan,53000.0,Pengeluaran,BCA Virtual Account,tangsel,Berhasil,Android 13,
3/10/2024,17:01,ongkir anteraja,Lain-lain,457000.0,Pengeluaran,OVO,,Pending,Windows Web,
5/9/2023,19:35,minyak kayu putih,Kesehatan,299000.0,Pengeluaran,BCA Virtual Account,Bdg,Berhasil,Android 12,
4/9/2024,1:42,Biaya Tiket Busway,Transportasi,176000000.0,Pengeluaran,Cash,Jakarta,Berhasil,Android 13,
11/3/2023,4:56,Makan Tomoro Coffee,Konsumsi,229000.0,Pengeluaran,QRIS,Online,Berhasil,Windows Web,
1/20/2023,14:52,cashback,Pendapatan,2908000.0,Pemasukan,ovo,SBY,Berhasil,Windows Web,
14/02/2023,18:26,deposit kos,Tempat Tinggal,181000.0,Pengeluaran,BCA Virtual Account,,Berhasil,iOS 16,
12/18/2023,6:25,CASHBACK,Pendapatan,8417000.0,Pemasukan,BCA Virtual Account,SBY,Berhasil,iOS 17,
25/02/2024,13:33,sushi tei,Konsumsi,152000.0,Pengeluaran,QRIS,,Berhasil,iOS 17,
3/17/2023,10:59,CASHBACK SHOPEEPAY,Pendapatan,9838000.0,Pemasukan,Gopay,Tangerang,Berhasil,Android 13,
10/7/2023,3:18,Pendanaan Nabung Crypto,Investasi,4507000.0,Pengeluaran,Gopay,,Berhasil,Android 12,
2/12/2024,1:02,cashback,Pendapatan,3362000.0,Pemasukan,Cash,,Berhasil,Android 13,
3/21/2024,13:46,Pengeluaran Tiket Lrt,Transportasi,194000.0,Pengeluaran,qris,Tangerang,Berhasil,iOS 16,
28/07/2023,2:45,Makan Pizza Hut,Konsumsi,64000.0,Pengeluaran,GOPAY,,Berhasil,Android 13,
2/11/2024,19:24,cek darah,Kesehatan,371000.0,Pengeluaran,Cash,SBY,Berhasil,Android 12,
4/5/2024,22:24,beli wajan,Belanja,,Pengeluaran,CASH,,Berhasil,Windows Web,
2/2/2024,8:52,bli sepatu futsal,,290000.0,Pengeluaran,qris,,Berhasil,iOS 17,
4/23/2023,0:30,Angpao,,2862000.0,Pemasukan,Gopay,tangsel,Berhasil,iOS 16,
2/9/2023,4:32,voucher game,,311000.0,Pengeluaran,ovo,JAKARTA,Gagal,Windows Web,warna hitam
2/23/2024,20:47,uang kos,Tempat Tinggal,2093000.0,Pengeluaran,BCA Virtual Account,SBY,Berhasil,iOS 17,
1/6/2024,17:36,iuran keamanan kos,,2598000.0,Pengeluaran,CASH,Jakarta,Berhasil,Android 13,
3/10/2024,20:23,bli sbn,,1982000.0,Pengeluaran,OVO,Surabaya,Berhasil,Android 12,
6/15/2023,3:18,tagihan pdam,Tagihan,,Pengeluaran,QRIS,,Berhasil,Windows Web,
16/07/2023,4:36,Hoodie,,1227000.0,Pengeluaran,ovo,,Berhasil,Windows Web,
1/8/2023,23:10,Deposit Aset Crypto Tokocrypto,Investasi,1126000.0,Pengeluaran,BCA Virtual Account,,Berhasil,Windows Web,
4/22/2023,8:59,Topup Steam,Hiburan,,Pengeluaran,CASH,,Berhasil,iOS 16,
1/7/2024,17:55,parkir liar,Lain-lain,64000.0,Pengeluaran,BCA Virtual Account,Online,Gagal,iOS 16,kembalian ambil aja
3/21/2023,2:54,laundry kiloan,,317000.0,Pengeluaran,BCA Virtual Account,,Berhasil,Android 12,
5/25/2023,17:44,nongkrong di kopi kenangan,Konsumsi,132000.0,Pengeluaran,Gopay,,Berhasil,iOS 17,
8/16/2023,5:29,belanja di hypermart,Belanja,1152000.0,Pengeluaran,BCA Virtual Account,SBY,Berhasil,Android 12,
27/05/2023,12:36,bli hoodie,Belanja,772000.0,Pengeluaran,Gopay,Tangerang,Gagal,iOS 17,
12/20/2023,0:55,Biaya Cuci Mobil,Transportasi,34000.0,Pengeluaran,Mandiri,Surabaya,Berhasil,Android 12,
12/16/2023,16:05,iuran keamanan,Tagihan,776000.0,Pengeluaran,Cash,JAKARTA,Berhasil,Windows Web,
1/23/2023,7:04,UANG KOS,Tempat Tinggal,143000.0,Pengeluaran,QRIS,Bdg,Berhasil,iOS 17,
7/19/2023,11:06,bonus project,Pendapatan,7625000.0,Pemasukan,Gopay,,Berhasil,Android 12,warna hitam
6/11/2023,5:59,bunga deposito,Pendapatan,9778000.0,Pemasukan,Mandiri,Bandung,Berhasil,Windows Web,segera proses ya
11/14/2023,9:48,KONSUL ALODOKTER,Kesehatan,,Pengeluaran,ovo,,Berhasil,iOS 16,
1/15/2023,23:37,Topup Kartu Flazz,Transportasi,207000.0,Pengeluaran,Mandiri,Bandung,Berhasil,iOS 17,
4/1/2023,6:26,Investasi Crypto Indodax,Investasi,1963000.0,Pengeluaran,Cash,,Berhasil,iOS 16,
